sku;catalog_desc;id_product;similar_desc;elastic_score;normalize_score;preco_medio;categoria;marca;cor;atributo_1;atributo_2;atributo_3;atributo_4;atributo_5;atributo_6
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;114327538;BALCAO DE COZINHA COM TAMPO 3 PORTAS E 1 GAVETA DEMOBILE DAMA AMENDOLA E BRANCO;36.936214;96.06542377413001;206.46;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;AMENDOLA E BRANCO;NAO INFORMADO;1;3;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;67175910;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AVENA E GRAFITO;36.504875;94.94357723551862;259.48;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;AVENA E GRAFITE;NAO INFORMADO;1;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;61567317;BALCAO DE COZINHA 3 PORTAS 1 GAVETA DAMA DEMOBILE AMENDOLA BRANCO;35.12452;91.35348573253623;248.32;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;DAMA DEMOBILE AMENDOLA;BRANCO;NAO INFORMADO;3;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;107590340;BALCAO DE COZINHA DAMA 3 PORTAS 1 GAVETA AMENDOLA BRANCO BNN DECOR;34.020267;88.48149315639255;267.4;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCO;NAO INFORMADO;1;3;NAO INFORMADO;AMENDOLA;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;127796552;BALCAO DE COZINHA SEM TAMPO MARTI 3 PT 1 GV MEL E FENDI;33.04885;85.95498662904804;228.71;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;SIM
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;72100690;BALCAO PARA COZINHA DAMA COM TAMPO 3 PORTAS E 1 GAVETA DEMOBILE;32.679684;84.99484252134386;247.67;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;3;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;30748998;BALCAO DE COZINHA EXCLUSIVE COM TAMPO 1 PT 1 GV BRANCO 65 CM;32.307915;84.02792841013894;462.27;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;BRANCO;65CM;1;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
DE626CL68COPMOB-849601;BALCAO DE COZINHA DAMA COM TAMPO 3 PT 1 GV AMENDOLA E BRANCO;116111575;BALCAO DE COZINHA COM TAMPO ESSENCE 1 PT 1 GV FENDI;32.07184;83.41393356709743;481.27;ARMARIOS BALCOES GUARDA ROUPAS ESTANTES RACKS E PAINEIS DE TV;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;1;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;70753807;BANQUETA GIRATORIA HARBOR MARROM MARROM;31.317764;100.0;353.06;BANQUETAS;NAO INFORMADO;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;66597891;BANQUETA GIRATORIA HARBOR MARROM;31.192936;100.0;348.42;BANQUETAS;NAO INFORMADO;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;68108389;BANQUETA GIRATORIA HARBOR PRETA;23.508121;75.0632165182674;412.41;BANQUETAS;NAO INFORMADO;PRETA;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;80823093;BANQUETA GIRATORIA DELFT MARROM MARROM;23.147482;73.91166878963645;480.65;BANQUETAS;NAO INFORMADO;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;76626009;BANQUETA GIRATORIA MILANO HELMOND MARROM MARROM;22.594097;72.14466843801492;384.07;BANQUETAS;HELMOND;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;82679939;BANQUETA GIRATORIA HELMOND MARROM MARROM MEDIO;22.594097;72.14466843801492;406.6;BANQUETAS;HELMOND;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;80370326;BANQUETA GIRATORIA AMSTERDAM MARROM MARROM MEDIO;22.594097;72.14466843801492;447.11;BANQUETAS;NAO INFORMADO;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
MO173CH76CDVMOB-798614;BANQUETA GIRATORIA HARBOR MARROM;1156504;BANQUETA GIRATORIA HELMOND MARROM;22.586702;72.12105564113709;449.15;BANQUETAS;HELMOND;MARROM;NAO INFORMADO;SIM;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO
