catalog_sku,id_product,catalog_desc,similar_desc,elastic_score,normalized_score,catalog_preco_medio,preco_medio,catalog_categoria,categoria,catalog_marca,marca,catalog_cor,cor,catalog_atributo_1,atributo_1,catalog_atributo_2,atributo_2,catalog_atributo_3,atributo_3,catalog_atributo_4,atributo_4,catalog_atributo_5,atributo_5,catalog_atributo_6,atributo_6
7908308792012,95748596,GUARDA ROUPA CASAL 3 PORTAS 4 GAVETAS PLATA DEMOBILE,GUARDA ROUPA CASAL 3 PORTAS 4 GAVETAS PLATA DEMOBILE BRANCO,18.892696,100.0,1059.98,923.62,GUARDA ROUPAS,GUARDA ROUPAS,DEMOBILE,DEMOBILE,AMENDOLA TOUCHOFF WHITE,BRANCO,SIM,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,202 CM X 190 CM X 47 CM,NAO INFORMADO,4,4,3,3
7908506206960,63012699,GUARDA ROUPA CASAL 6 PORTAS FALCO YESCASA,GUARDA ROUPA CASAL 6 PORTAS FALCO YESCASA BRANCO,17.067707,100.0,499.98,448.52,GUARDA ROUPAS,GUARDA ROUPAS,YESCASA,FALCO YESCASA,BRANCO,BRANCO,NAO,NAO INFORMADO,MDP,NAO INFORMADO,NAO,NAO INFORMADO,181 CM X 149 CM X 47 CM,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,6,6
7908506207042,63618655,GUARDA ROUPA CASAL 6 PORTAS FALCO YESCASA,GUARDA ROUPA CASAL 6 PORTAS FALCO YESCASA AVENA,15.665367,100.0,599.98,392.94,GUARDA ROUPAS,GUARDA ROUPAS,YESCASA,FALCO YESCASA,AVENAGRAFITE,NAO INFORMADO,NAO,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,181 CM X 149 CM X 47 CM,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,6,6
7908506254497,69578910,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO CENTRAL E 4 GAVETAS COSTA RICA SALLETO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO CENTRAL E 4 GAVETAS COSTA RICA SALLETO MOVEIS BRANCO,26.910563,100.0,1059.98,950.9,GUARDA ROUPAS,GUARDA ROUPAS,SALLETO MOVEIS,SALLETO MOVEIS,BRANCO,BRANCO,SIM,SIM,MDF/MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"208 CM X 185,5 CM X 47 CM",NAO INFORMADO,4,4,3,3
7908506254541,69578910,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO CENTRAL E 4 GAVETAS COSTA RICA SALLETO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO CENTRAL E 4 GAVETAS COSTA RICA SALLETO MOVEIS BRANCO,25.36829,100.0,1029.98,950.9,GUARDA ROUPAS,GUARDA ROUPAS,SALLETO MOVEIS,SALLETO MOVEIS,IPEOFF WHITE,BRANCO,SIM,SIM,MDF/MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"208 CM X 185,5 CM X 47 CM",NAO INFORMADO,4,4,3,3
7909903075975,81510147,GUARDA ROUPA 4 PORTAS 2 GAVETAS LOGAN MAMBEL,GUARDA ROUPA 4 PORTAS 2 GAVETAS LOGAN MAMBEL BRANCOOLMO,22.271103,100.0,1407.02,1501.26,GUARDA ROUPAS,GUARDA ROUPAS,LOGAN,LOGAN MAMBEL,BRANCO,BRANCO,NAO,NAO INFORMADO,MDF,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"232,2CM X 160,5CM X 56CM",NAO INFORMADO,2,2,4,4
7909903202005,134656410,RACK COM PAINEL RIPADO PARA TV ATE 85 POLEGADAS LED 3 GAVETAS COM RODIZIOS 230CM GELIUS NATURALE,RACK COM PAINEL RIPADO PARA TV ATE 75 POLEGADAS LED 3 GAVETAS COM PES 230CM NOBRE GELIUS 100 MDF,28.961052,100.0,2199.98,2211.18,RACKS COM PAINEIS,RACKS COM PAINEIS,GELIUS MOVEIS,GELIUS 100,NATURALE,NAO INFORMADO,NAO,NAO INFORMADO,MDF/MDP,MDF,SIM,SIM,250 CM X 229 CM X 35 CM,230CM,3,3,NAO INFORMADO,NAO INFORMADO
7909903250082,90091166,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO 4 GAVETAS COSTA RICA SALLETO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS COM ESPELHO 4 GAVETAS COSTA RICA SALLETO MOVEIS CINAMOMOOFF,23.334652,100.0,997.63,1039.23,GUARDA ROUPAS,GUARDA ROUPAS,SALLETO MOVEIS,SALLETO MOVEIS,CINAMOMOOFF WHITE,MARROM BRANCO,SIM,SIM,MDF/MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"208 CM X 185,5 CM X 47 CM",NAO INFORMADO,4,4,3,3
7909903263846,103084116,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS PARIS ESPRESSO MOVEIS,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS PRETO ESPRESSO MOVEIS,25.7984,100.0,899.98,959.76,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,PRETO,PRETO,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,SIM,237 CM X 200 CM X 47 CM,NAO INFORMADO,4,4,8,8
7909903263853,103084116,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS PARIS ESPRESSO MOVEIS,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS PRETO ESPRESSO MOVEIS,23.874971,100.0,865.86,959.76,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,CINZA,PRETO,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,SIM,237 CM X 200 CM X 47 CM,NAO INFORMADO,4,4,8,8
7909903263884,103084116,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS PRETO ESPRESSO MOVEIS,27.632902,100.0,1129.98,959.76,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,CINZA,PRETO,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO,SIM,SIM,237 CM X 205 CM X 47 CM,NAO INFORMADO,4,4,8,8
7909903264669,103084116,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS PARIS ESPRESSO MOVEIS,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS PRETO ESPRESSO MOVEIS,23.874971,100.0,999.98,959.76,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,BRANCO,PRETO,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,SIM,237 CM X 200 CM X 47 CM,NAO INFORMADO,4,4,8,8
7909903264683,103084116,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS PARIS ESPRESSO MOVEIS,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS PRETO ESPRESSO MOVEIS,23.874971,100.0,919.98,959.76,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,IPE TEXOFF WHITE,PRETO,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,SIM,237 CM X 200 CM X 47 CM,NAO INFORMADO,4,4,8,8
7909903264690,103084116,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS,GUARDA ROUPA CASAL 8 PORTAS 4 GAVETAS COM PES PARIS ESPRESSO MOVEIS PRETO ESPRESSO MOVEIS,27.632902,100.0,1159.98,959.76,GUARDA ROUPAS,GUARDA ROUPAS,ESPRESSO MOVEIS,ESPRESSO MOVEIS,BRANCO,PRETO,NAO INFORMADO,NAO INFORMADO,MDP,NAO INFORMADO,SIM,SIM,237 CM X 205 CM X 47 CM,NAO INFORMADO,4,4,8,8
7909903266151,72370865,GUARDA ROUPA CASAL 3 PORTAS 9 GAVETAS LUANA SALLETO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS 9 GAVETAS LUANA SALLETO MOVEIS,22.21813,100.0,999.98,980.77,GUARDA ROUPAS,GUARDA ROUPAS,SALLETO MOVEIS,LUANA SALLETO MOVEIS,CINAMOMOOFF WHITE,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,MDF/MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,217 CM X 180 CM X 47 CM,NAO INFORMADO,9,9,3,3
7909903266175,72677464,GUARDA ROUPA CASAL 3 PORTAS 9 GAVETAS COM ESPELHO LUANA SALLETO MOVEIS,GUARDA ROUPA CASAL 3 PORTAS 9 GAVETAS COM ESPELHO LUANA SALLETO MOVEIS,22.968374,100.0,1039.98,1105.31,GUARDA ROUPAS,GUARDA ROUPAS,SALLETO MOVEIS,LUANA SALLETO MOVEIS,CINAMOMOOFF WHITE,NAO INFORMADO,SIM,SIM,MDF/MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,217 CM X 180 CM X 47 CM,NAO INFORMADO,9,9,3,3
7909903272879,114104643,ESTANTE HOME RIPADA PARA TV ATE 85 POLEGADAS COM LED 3 GAVETAS NOBRE CLEAN GELIUS MOVEIS,ESTANTE HOME RIPADA PARA TV ATE 85 POLEGADAS COM LED 3 GAVETAS NOBRE CLEAN GELIUS MOVEIS MARROMLE,33.9194,100.0,1519.98,1534.96,ESTANTES,ESTANTES,GELIUS MOVEIS,GELIUS MOVEIS,NATURALEOFF WHITE,MARROM,NAO,NAO INFORMADO,MDF,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,"228,8 CM X 217 CM X 40,6 CM",NAO INFORMADO,3,3,NAO INFORMADO,NAO INFORMADO
AR996CL75WCYMOB-450138,19146098,GUARDA ROUPA CLOSET MODULADO BARCELONA DEMOLICAO,GUARDA ROUPA CLOSET MODULADO BARCELONA DEMOLICAO,12.873157,100.0,693.79,600.43,GUARDA ROUPAS,GUARDA ROUPAS,MODERN,NAO INFORMADO,MARROM,NAO INFORMADO,187 CM X 119 CM X 48 CM,NAO INFORMADO,3,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,SEM PORTAS,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
CA366TA81IEWMOB-166390,73765398,CONJUNTO DE MESA OITAVADA COM 8 CADEIRAS UMBRIDGE COLORIDO,CONJUNTO DE MESA OITAVADA COM 8 CADEIRAS FUNNY COLORIDO,27.239902,100.0,1715.29,1784.69,CONJUNTO DE MESA E CADEIRAS,CONJUNTO DE MESA E CADEIRAS,CARLU BRINQUEDOS,NAO INFORMADO,COLORIDO,COLORIDO,8,8,104CM X 104CM X 57CM,NAO INFORMADO,MDF,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
CO184TA01DFIMOB-972225,77972762,MESA DE ESCRITORIO KUANDRA NOGAL E PRETA,MESA DE ESCRITORIO KUANDRA NOGAL E PRETA,15.8263645,100.0,490.47,424.91,MESAS DE ESCRITORIO E ESCRIVANINHAS,MESAS DE ESCRITORIO E ESCRIVANINHAS,COMPACE,NAO INFORMADO,MARROM PRETO,MARROM PRETO,180 CM X 75 CM X 70 CM,NAO INFORMADO,MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
CO184TA68EBRMOB-1007568,85094555,ESCRIVANINHA STUDIO PRETA 180 CM,ESCRIVANINHA STUDIO PRETA 180 CM,13.436642,100.0,467.96,377.62,MESAS DE ESCRITORIO E ESCRIVANINHAS,MESAS DE ESCRITORIO E ESCRIVANINHAS,COMPACE,NAO INFORMADO,PRETO,PRETO,180 CM X 75 CM X 60 CM,180CM,MDP,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
DA270CH30GDTMOB-1130200,102925740,CONJUNTO COM 2 CADEIRAS PENNY ALGODAO BEGE E FREIJO,CONJUNTO COM 2 CADEIRAS PENNY ALGODAO BEGE E FREIJO,21.024563,100.0,733.46,664.85,CONJUNTO DE CADEIRAS,CONJUNTO DE CADEIRAS,MODERN,NAO INFORMADO,MARROM,MARROM,2,2,MDF,ALGODAO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO
DA270RA04UOXMOB-1088070,111782511,RACK LOREN 1 PT 2 GV FREIJO 220 CM,RACK PARA TV DE ATE 60QUOT 2 GAVETAS 220 CM 1 PORTA DE CORRER FREIJO DALLA COSTA,27.871984,100.0,1035.79,927.5,RACKS,RACKS,DALLA COSTA,DALLA COSTA,MARROM,NAO INFORMADO,220 CM X 62 CM X 36 CM,NAO INFORMADO,2,FREIJO,MDF,NAO INFORMADO,NAO INFORMADO,220CM,1,2,NAO INFORMADO,1
